HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind
64400,Injection of anesthetic agent and/or steroid into face nerve,N
0658T,Electrical impedance spectroscopy of 1 or more skin growths to evaluate risk of melanoma,N
90471,Administration of vaccine,N
93000,Routine electrocardiogram (ecg) using at least 12 leads with interpretation and report,N
G0009,Administration of pneumococcal vaccine,N
80061,"Blood test, lipids (cholesterol and triglycerides)",N
11056,"Removal of noncancer thickened skin growth, 2-4 growths",N
11730,"Simple separation of fingernail or toenail from nail bed, first nail",N
11732,"Simple separation of fingernail or toenail from nail bed, each additional nail",N
67800,Removal of chronic growth of eyelid,N
99423,"Online digital evaluation and management service for an established patient for up to 7 days, total time 21 or more minutes",N
64612,Injection of chemical for paralysis of nerve muscles on side of face,N
Q4124,"Oasis ultra tri-layer wound matrix, per square centimeter",N
82565,Blood creatinine level,N
84520,"Urea nitrogen level to assess kidney function, quantitative",N
86317,"Detection of infectious agent antibody, quantitative",N
85610,"Blood test, clotting time",N
96365,"Infusion into a vein for therapy, prevention, or diagnosis, 1 hour or less",N
96413,"Administration of chemotherapy into vein, 1 hour or less",N
69110,Partial removal of external ear with simple repair,N
36475,Destruction of first incompetent vein of arm or leg using radiofrequency and imaging guidance,N
15760,Graft with closure of wound,N
96912,Therapy procedure using ultraviolet radiation,N
99446,"Telephone or internet assessment with verbal and written report by consulting physician, 5-10 minutes",N
84450,"Liver enzyme (sgot), level",N
84460,"Liver enzyme (sgpt), level",N
10080,Simple drainage of cyst of tailbone,N
11201,"Removal of skin tag, each additional 10 skin tags",N
95115,Professional service for single injection of allergen,N
87071,Bacterial culture and colony count,N
99284,Emergency department visit for problem of high severity,N
29700,"Removal or cutting of gauntlet, boot, or body cast",N
87389,Detection test by immunoassay technique for hiv-1 antigen and hiv-1 and hiv-2 antibodies,N
83516,"Analysis of substance using immunoassay technique, multiple step method",N
86256,Measurement of antibody to noninfectious agent,N
G0180,"Physician or allowed practitioner certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians and",N
19081,"Biopsy of breast and placement of locating device using x-ray with needle, first growth",N
19083,"Biopsy of breast and placement of locating device using ultrasound, first growth",N
19281,"Placement of locating device in breast using imaging guidance, first growth",N
19282,"Placement of locating device in breast using imaging guidance, each additional growth",N
76098,X-ray of surgical specimen,N
76641,Complete ultrasound scan of 1 breast,N
76642,Limited ultrasound scan of 1 breast,N
77049,Mri scan of both breasts,N
77063,Screening 3d breast mammography,N
77065,Diagnostic mammography of 1 breast,N
77066,Diagnostic mammography of both breasts,N
77067,Screening mammography,N
G0279,"Diagnostic digital breast tomosynthesis, unilateral or bilateral (list separately in addition to 77065 or 77066)",N
85652,"Red blood cell sedimentation rate, to detect inflammation, automated",N
36410,Insertion of needle into vein (3 years or older),N
82270,Stool analysis for blood to screen for colon tumors,N
11446,"Removal of noncancer skin growth of face, ears, eyelids, nose, lips, or mouth, more than 4.0 cm",N
93923,Complete ultrasound study of arm and leg arteries,N
97112,"Therapy procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",N
G0283,"Electrical stimulation (unattended), to one or more areas for indication(s) other than wound care, as part of a therapy plan of care",N
Q4249,"Amniply, for topical use only, per square centimeter",N
30465,Repair of nasal passage,N
15731,"Creation of flap graft to nose, forehead, temple, or scalp",N
40654,Repair of vertical lip wound extending to over half of lip,N
99217,Hospital observation care on day of discharge,N
99238,"Hospital discharge day management, 30 minutes or less",N
Q4229,"Cogenex amniotic membrane, per square centimeter",N
Q4222,"Progenamatrix, per square centimeter",N
15733,Creation of flap graft to head and/or neck,N
99328,"New patient custodial care facility, group care, or assisted living visit, typically 75 minutes",N
99345,"New patient home visit, typically 75 minutes",N
96127,Assessment of emotional or behavioral problems,N
95018,Test for allergy using combination of methods with drug or biological,N
95024,Test for allergy using allergenic extract injected into skin,N
69300,Repair of protruding ear,N
96932,"Imaging of skin growth using microscope, first growth",N
Q4136,"Ez-derm, per square centimeter",N
13153,"Complicated repair of wound of eyelids, nose, ears, or lip, each additional 5.0 cm or less",N
Q4208,"Novafix, per square cenitmeter",N
G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",N
G0444,"Annual depression screening, 15 minutes",N
80051,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",N
29125,Application of nonmoveable forearm to hand splint,N
82607,Cyanocobalamin (vitamin b-12) level,N
83550,Iron binding capacity,N
84403,"Testosterone (hormone) level, total",N
51702,Simple insertion of temporary bladder tube,N
88333,"Pathology cytologic examination of specimen during surgery, initial site",N
88334,"Pathology cytologic examination of specimen during surgery, each additional site",N
Q4188,"Amnioarmor, per square centimeter",N
87118,Identification of mycobacteria (tb or tb like organism),N
94060,Test to measure expiratory airflow and volume changes before and after medication administration,N
